userId,productID,views
635c0ac87482cdf128be119a,52349818,18
635c0ac87482cdf128be119a,24930288,1
635c0ac87482cdf128be119a,18205467,12
635c0ac87482cdf128be119a,77591586,3
635c0ac87482cdf128be119a,54813845,21
635c0ac87482cdf128be119a,65990957,47
635c0ac87482cdf128be119a,73059485,2
635c0ac87482cdf128be119a,21556845,3
635c0ac87482cdf128be119a,72016263,1
635c0ac87482cdf128be119a,59350283,1
62f3e67f62eae3ef10686d1f,72016263,2
62f3e67f62eae3ef10686d1f,52349818,46
62f3e67f62eae3ef10686d1f,24930288,1
62f3e67f62eae3ef10686d1f,77591586,42
62f3e67f62eae3ef10686d1f,54904361,55
62f3e67f62eae3ef10686d1f,42014261,4
62f3e67f62eae3ef10686d1f,48020215,5
62f3e67f62eae3ef10686d1f,21556845,63
62f3e67f62eae3ef10686d1f,44287641,2
62f3e67f62eae3ef10686d1f,52465514,6
62f3e67f62eae3ef10686d1f,65990957,778
62f3e67f62eae3ef10686d1f,54813845,21
62f3e67f62eae3ef10686d1f,26764143,3
62f3e67f62eae3ef10686d1f,76428273,1
62f3e67f62eae3ef10686d1f,74916360,2
62f3e67f62eae3ef10686d1f,46600803,100
62f3e67f62eae3ef10686d1f,58785017,21
